S_i,A_i
328,4461
1588,2146
4504,2257
24,1704
3245,1041
4536,4899
2664,2651
2313,2546
2130,3954
4635,1027
4355,4902
3945,53
4731,1375
3307,4278
4645,4334
1022,1172
740,822
4422,2598
4589,4378
2731,1793
1687,4932
1337,4866
3030,3590
4433,3168
2841,147
4919,2827
1073,2616
3224,1743
493,4333
45,405
291,302
1951,4481
900,208
3707,2236
901,1425
3552,393
75,734
436,1831
604,1137
4313,381
3656,1165
4869,5000
2487,2305
3700,2088
3131,1323
1453,3324
3169,2331
289,4083
3160,1986
4465,3192
1827,717
4185,3280
1864,2092
2746,2984
2574,2483
3863,100
3408,287
4049,4098
442,3000
2547,38
3622,924
1381,4846
4283,4866
3989,4642
72,896
661,4021
3493,1178
669,2749
4111,4210
3843,1912
682,2262
2625,331
1897,2037
896,3036
1104,1727
2985,1387
2654,1611
1488,1213
283,4539
749,1518
4075,2556
4968,4875
1976,4869
644,4921
428,57
793,762
1071,4199
2204,444
807,4060
1150,1822
2133,2134
3221,4086
3988,4704
2993,1342
3257,4504
4820,353
4359,1283
3306,4191
700,2603
2155,1245
1945,4446
1473,4771
654,4848
3413,4986
4166,4490
345,2293
4735,583
4881,4494
549,3963
30,142
956,3066
4957,936
4707,3813
3669,71
3691,2444
2221,1836
2126,3876
4153,1167
709,3822
1772,4555
4636,945
2324,2976
2999,80
2893,3366
2540,1311
135,1096
2292,2200
3454,2496
1266,4285
2807,4757
3030,1182
2785,1355
4727,1528
2345,1120
425,4635
94,2373
1256,2851
4359,2391
1909,1443
4914,4674
738,1538
3920,4545
308,3930
4049,1104
1276,2256
2053,896
2291,3268
1815,1542
1502,3802
4252,4538
2320,2628
1795,206
2680,68
3579,4819
4543,3994
3067,4337
2592,1233
2855,4001
1371,2234
4875,1274
3045,4630
4130,3848
3422,2170
161,354
3234,4695
3486,2100
3575,203
932,3350
2412,2261
1121,1923
3709,80
651,2382
570,2767
2995,540
361,2850
905,3613
3995,2692
3850,4220
3092,681
1251,1947
3052,4101
3705,3103
3135,1304
3226,410
4790,699
688,3534
1970,1346
1912,3179
1299,3061
1544,3594
4296,3558
1741,302
3706,499
983,1727
1016,3213
4566,4535
4972,3654
4319,416
2007,2038
1099,1892
809,3474
2506,4683
2756,4375
3290,2092
4704,638
4044,301
2637,4497
124,1763
454,3957
772,2383
3425,336
921,298
2848,4212
3880,1376
2189,2431
517,719
651,1986
4692,3953
1904,92
1735,633
511,3028
796,4725
3158,4376
687,2546
3518,4783
934,78
3641,3140
2155,1943
1212,3293
1695,863
2323,1522
2143,1802
4410,1170
1218,2112
2264,1536
4703,2748
862,3070
1969,4476
2435,783
343,1447
2554,246
4925,3941
2567,1505
3236,214
3253,3367
3022,2207
1769,1010
815,1827
17,3360
1958,3615
3929,2413
512,674
4980,2164
1414,1317
4162,2934
1071,1425
304,2551
1645,1914
69,48
3179,1424
1899,490
2605,246
2208,3602
4444,1143
3848,4010
1607,2516
2830,3795
1645,2322
3473,2592
1197,3545
3939,2559
4904,4526
4233,1987
2772,740
4921,1023
3687,3623
2023,3824
3531,3323
115,3511
1358,3023
4889,1679
3756,4027
1311,2345
2611,3684
2306,2167
962,2866
1721,3077
3245,272
4317,3357
362,2508
4183,4894
4715,2081
43,626
4583,3004
721,2408
4742,3487
4475,3767
1594,3224
4449,4968
2430,2594
3130,712
4230,4964
528,1923
2340,1620
758,3132
3860,3021
2653,249
1707,877
7,1635
4337,4464
4211,1498
2980,3099
1570,3729
3873,1867
3270,3976
4343,4657
4257,4572
166,792
4799,3363
1339,1413
1667,780
2159,1064
844,815
1455,2708
1981,2217
85,2243
2139,2219
2405,4
3752,1063
728,598
1011,1438
2617,4806
3100,3256
3705,4703
2892,3366
803,1015
1734,1566
2878,1966
358,578
4769,1776
3297,1776
1755,4746
2733,4845
3991,2982
3902,3885
4127,4924
3962,4038
3165,834
1379,3586
3435,2952
925,2103
4880,1311
2549,886
60,495
4715,3357
4949,289
160,2229
696,4194
556,1974
3384,3334
1181,289
3356,3161
3493,714
58,1386
323,662
754,3695
2236,2999
929,4137
4352,4796
2009,2162
3660,3756
1814,578
473,868
648,255
3326,420
24,1894
50,4352
2732,4787
3879,1834
3954,360
3187,943
1439,2281
2684,3010
2889,952
4747,3006
526,1821
1044,1329
1092,3453
3544,2729
351,4932
4432,213
993,3920
439,2908
3421,4662
2418,4906
304,2302
2670,3624
4480,4516
2250,4030
972,2116
1721,2897
600,1437
110,383
2283,2821
1015,2588
4167,1445
4483,2534
1814,3211
2703,3556
4152,3031
4493,3184
3956,2104
2169,1873
241,1230
3697,4199
796,640
3764,2524
2724,3578
885,4246
2721,524
1349,188
3060,2147
308,2197
4162,1621
2558,2868
3793,3483
4410,1081
2816,2508
553,1832
1385,596
2326,3508
289,3913
3895,4607
623,4594
2334,1666
4940,1853
3020,3612
4487,2121
3624,3355
2860,20
2788,2439
4096,3079
4062,2165
2186,2758
1752,671
2016,4098
3418,3932
4263,1034
1634,3499
1459,4053
4604,2228
1210,1661
3898,2426
326,2566
741,3891
588,3597
2967,3942
1908,1282
1199,4540
1582,3549
901,1618
4266,898
2528,1493
132,440
1074,4476
3956,1992
2332,44
1658,3346
1473,3962
2747,3194
1270,4743
2831,1239
1050,2412
1037,4895
1817,1188
3518,3761
2114,2708
1251,419
4256,1092
3466,209
3967,2851
4868,4213
868,3654
1787,617
808,3580
210,650
1046,2359
118,1553
3498,446
1609,3439
66,4424
1155,3853
4239,911
2865,3639
2935,4295
2270,4783
4601,3896
2925,2908
1308,4278
568,368
4782,1721
889,4945
1849,4197
4728,3292
1855,2978
3047,1526
1889,767
1866,1975
2719,4235
3436,1442
3294,4154
2839,155
1917,4408
2686,73
2303,2206
4545,3122
401,869
391,643
3325,1684
1211,480
10,393
2552,1350
854,4805
4393,4662
1786,4866
3173,326
4017,1587
1559,925
1499,3014
3435,3212
590,2167
1247,353
3148,1039
922,2164
295,1265
2200,4723
4853,4244
4467,4652
2044,2396
1032,867
4059,932
973,2626
1036,1240
1616,1009
1504,4407
2405,739
2995,1503
3766,3928
3080,2923
2943,4669
1486,2945
2036,1269
2182,1347
2600,2192
3642,2927
4678,2650
3866,3186
1419,2460
4743,1455
4869,4454
3452,866
4273,3745
2687,1367
4251,4598
1474,4235
1011,3648
327,1333
3498,1084
2201,2577
4449,2929
1052,1225
2416,1855
661,3543
3672,1073
428,4498
1883,4544
4228,4244
2451,3518
721,167
4266,3343
1401,1503
3332,2626
4989,649
4911,2307
104,3406
3577,2108
1113,2676
260,3009
2742,3114
1247,4746
3674,2762
3043,4818
1871,1662
4544,2086
947,4746
3567,1359
932,4981
4185,2834
980,2784
3056,1550
4547,4207
2361,3537
4692,3698
2860,1955
4279,2403
3803,1792
3159,2793
4665,1404
4046,3526
3531,522
1005,1652
835,3921
3164,994
2699,4105
3422,2998
20,2232
4136,3847
469,4559
3661,1330
4286,2338
350,997
97,3578
3839,3212
2242,2875
2249,273
2934,3487
363,1347
478,518
4289,3624
1691,1253
4412,2730
3258,2679
4567,511
4992,456
2869,1940
4201,125
2851,1820
2205,3439
2717,233
1657,1243
2398,196
1693,212
3890,84
1852,356
4539,4101
2770,2244
1519,1910
2539,4242
4913,4312
1762,3862
3381,1939
4109,4820
2691,3423
410,4225
4020,1541
3255,2789
2394,4003
3613,2053
3388,488
671,691
269,4584
2189,1548
4776,438
694,3462
2033,2907
4245,4075
2888,854
2098,3234
165,448
1148,2582
1659,159
104,2960
4223,2321
325,1976
2189,2509
4730,559
4670,2988
2110,27
947,3697
3777,2401
2937,164
1569,2589
2239,2084
1027,2572
1832,434
2596,4259
767,1560
2663,3018
907,1474
3393,2260
58,211
4593,4892
1656,4554
3652,2876
2637,4485
3263,4442
499,3217
3326,3479
2260,1611
247,3470
3684,1591
4231,3977
2571,330
1219,3905
4475,3600
1581,3190
1340,780
4504,2423
4177,581
3675,3754
2107,2727
2603,4323
2383,4584
4819,974
674,3436
3104,859
3962,1973
2257,4038
2388,1460
1521,604
4752,4933
576,2364
1612,804
2939,9
4676,3603
378,3945
884,368
1260,324
1280,1778
2331,4975
1463,2984
333,3299
678,4497
1867,147
1891,4177
3395,1424
4495,4764
4589,974
4599,4996
4951,1896
1306,4460
2103,350
451,3794
4198,1137
3396,4969
1705,612
1776,1397
2116,857
4829,799
487,424
1453,1051
2827,4814
797,3410
1840,1731
2131,2755
1729,2446
1501,904
156,3064
3025,4438
4920,890
581,4360
1916,1003
357,1864
442,2924
1222,3707
168,1659
2068,2095
573,4382
2243,2509
465,2462
1723,4181
60,4069
2907,2942
2239,295
2725,2966
2608,4561
3075,2494
2174,2592
1179,3283
2338,3208
2992,199
3891,1349
1695,747
2046,2234
884,805
3565,1247
4606,4218
2441,2246
4408,1803
3042,4005
2753,1803
540,2452
4534,37
4305,804
416,1312
3288,1061
1916,1886
1704,1162
3346,679
4861,1995
167,74
1080,350
3651,72
3178,2404
3651,1698
4950,2610
4333,293
192,4458
810,3890
2165,2500
580,742
3821,341
3824,1285
1976,194
4440,4885
2417,3301
3323,3579
1281,4206
596,4812
4866,3779
4190,4251
1549,2834
4178,2249
1570,2257
762,3847
3548,2814
510,2011
3523,129
1360,4915
658,4944
1765,175
2855,992
1267,3815
530,4929
4342,638
491,4796
4221,2150
2168,3336
2600,1107
2491,4329
4585,1082
3494,2903
1103,1643
2294,1751
476,2511
351,3154
1797,1044
2849,1187
4619,3037
3151,4855
704,117
1605,3021
1309,2340
841,3012
2322,2412
3716,4708
2734,4265
582,4447
2608,51
941,1341
162,4300
1688,4216
4724,1402
803,560
3363,1600
2192,4053
128,969
3267,2988
2058,986
4293,1953
4218,2233
1084,1734
3425,1746
776,3886
3332,721
4654,3898
1782,87
914,2497
576,771
783,372
2414,4873
4116,4691
58,2705
3374,3874
4941,4493
2751,4132
3368,2126
4961,486
4081,3199
970,4401
2530,429
2217,1524
813,756
3422,1720
1785,2241
482,1005
3532,3266
2033,1771
789,1883
4905,1710
1805,3889
1589,3295
623,4058
4720,4476
2399,2147
4366,4760
4946,4121
1662,3045
4443,4010
2525,2201
4314,2786
1648,990
1137,2196
517,4076
3066,878
3424,2392
4598,4997
3795,197
2323,3543
2492,152
442,944
2259,4831
644,1636
2044,3997
411,4655
2197,3817
1359,3243
1142,902
3175,1935
554,2771
3839,3784
3451,716
2885,3786
2362,1821
2867,2682
885,1840
3127,2111
4906,1964
135,829
3148,2313
3045,1150
4639,3522
3604,1334
2530,1941
2373,4018
258,668
2536,1405
3686,4695
813,413
1334,3083
4091,2550
1209,4156
189,3198
3255,4654
268,2227
3373,1966
3554,2326
1701,503
2111,2236
3830,4984
3521,4082
3742,770
2589,3614
3161,373
3341,4000
51,145
743,1427
4504,171
179,1175
2455,1607
567,4557
685,299
125,4148
1320,2989
1773,1751
2560,1801
3277,2776
2346,3666
101,1463
4606,1010
3330,1508
1918,3143
2717,4655
2734,3484
3786,4697
3919,519
2283,3568
4200,3043
3681,2199
4728,2464
2761,1341
4247,4459
1300,2617
389,4467
1809,1667
3255,3813
4244,343
4647,1270
1355,3814
1570,2973
2823,4414
3722,4768
3857,3661
1199,4221
4124,3636
1234,2775
3373,4775
1549,3939
2481,3389
4420,3095
2011,4751
4118,2272
297,2976
2588,1721
3985,1479
4127,3051
4313,1772
4656,1962
605,1758
2500,6
2011,3264
371,3881
1635,3988
3777,649
2803,392
3188,602
1985,4330
411,3140
2213,4888
366,418
1498,4195
4294,9
4039,1618
1564,4433
1869,429
2306,397
2383,4038
4973,2489
724,3457
909,1263
1860,3339
3046,1337
4421,1623
1591,1868
2671,4034
2614,3673
2091,2403
3031,4420
1321,2886
3713,2198
1405,1830
4061,3700
1493,252
2135,1922
4670,1784
2294,2702
1710,131
1844,3030
834,4735
2280,3200
4402,3873
4291,3794
927,1972
2870,234
1995,4277
3000,2195
1734,1606
3473,3222
2903,4235
590,4997
2017,1403
10,4952
3193,3544
3719,1479
813,3481
1395,2561
3521,4521
2788,3662
4401,4384
2110,1727
2447,3748
2693,4587
2896,61
4491,401
4169,3515
524,317
2561,3824
1241,3404
2677,1193
4128,2101
3237,653
2664,4775
3241,2628
2464,1866
4708,984
171,2893
673,21
3513,2992
3413,4232
4420,3103
3600,2010
4275,1132
1372,3166
2730,2919
4626,4871
4989,1725
1723,866
1093,2017
989,2914
1461,2005
74,178
2759,688
3479,3362
2901,1181
1709,2427
1910,556
4670,2256
3090,2783
3729,2393
4236,555
3437,2386
4163,2491
3237,1528
2205,1800
972,2410
1635,2717
3564,116
1968,2066
614,573
2246,3520
1490,2888
4697,2724
2283,835
1219,4106
219,4938
2260,1612
65,2784
2618,1740
2264,501
246,4860
2502,3376
3719,2339
4309,130
2250,872
724,2482
2609,3742
3017,1741
1818,4854
2704,531
2928,3728
2210,3505
136,3407
3802,4115
212,4438
1563,764
1517,2103
3559,2929
1621,28
3988,1262
1432,4805
4676,2973
2750,1198
564,2575
3654,1407
1910,811
2119,4571
4510,4757
3630,2763
2991,3000
4665,3401
4148,2135
965,1548
4539,4653
1064,4314
4481,4554
3814,2750
3155,4850
4999,121
4544,2569
3215,4935
1045,415
1259,4362
1592,2809
1095,4160
3691,3089
3939,2695
3122,3544
3867,1776
829,3030
4451,2202
1023,3819
817,2247
3807,3123
4565,2628
663,4898
4882,64
3817,3259
2956,983
3068,1163
210,1740
2693,267
4159,1808
3230,4309
3355,236
3558,3874
4320,2228
2541,4816
3410,2143
702,1005
1951,3005
4351,4835
1374,3959
50,179
3115,4887
4581,1232
709,4914
1277,4974
479,1246
2336,2599
250,3602
3127,1475
2390,4355
3308,2217
2155,4707
4846,4425
868,2844
4807,2799
805,3746
3948,2209
2015,2339
424,1163
651,4034
510,1391
147,3399
1805,2193
4236,1665
1385,1826
2505,4197
3472,1599
2172,707
2997,1334
830,1719
4571,3451
3932,2557
777,3605
934,2079
2487,4222
2885,65
3812,545
2001,4594
2049,2732
3223,4270
2304,2958
4544,3102
727,3524
1310,2288
4122,2247
1797,4515
4177,1783
1901,339
2057,2338
4628,4473
555,4280
2610,4233
923,1162
1749,4184
3210,3727
1798,4862
3785,4911
3159,222
218,4314
3424,3
3987,4295
271,2379
4696,4768
295,1792
1707,1334
3125,1608
841,1462
2723,846
3836,3587
3482,4891
4350,1699
3332,3886
985,1961
4724,156
4532,4552
2953,460
4264,2670
2112,1256
2263,351
983,1210
4137,1415
3948,1575
712,3014
2399,1223
717,1074
2928,4222
4355,3826
419,3322
2650,3792
432,1481
2129,2185
3002,1229
461,4776
4323,1016
2418,4228
960,4525
3050,2423
4400,404
2997,94
386,4243
2755,759
3536,4114
3060,126
2607,1135
4686,2003
2724,2091
1023,184
3713,1832
3660,1227
437,4329
4176,1043
1490,2916
3663,2175
3191,2568
2274,2073
4298,324
3529,1624
2156,2423
3235,4201
330,1336
1952,2383
206,4004
187,1479
3368,3589
1105,3517
340,887
4121,4377
76,1925
4290,955
2384,2586
106,4942
4047,106
3770,4310
1184,2393
4517,668
2425,4673
2399,2313
771,597
968,3257
2146,4630
3387,2050
4851,2299
4470,4741
3842,339
4912,3409
2486,4718
3112,2641
2127,3059
441,451
173,4152
193,4008
1985,3014
370,755
2707,1791
2268,4327
2327,1145
4774,4575
540,2501
4601,4771
4066,4303
1852,4815
211,25
4766,226
3791,936
3694,276
1036,4925
205,1452
4219,311
940,1833
1993,1093
3908,4269
123,4986
937,715
4650,893
2444,4191
4539,1545
3796,4001
1672,2858
3479,4073
580,2416
4956,2781
2765,3335
4503,1500
654,8
3376,4992
428,4390
4439,2447
215,1627
4458,4053
2615,1706
2973,4673
3101,3090
1249,1602
2585,2502
3173,3652
2920,1794
4425,1670
3613,4080
4865,1067
4648,2728
3880,2356
300,2684
3669,4772
1563,3751
3159,43
1209,4583
4443,3062
3012,1154
4828,4188
167,330
1041,2093
3229,532
2372,620
1200,1048
2783,4584
64,2088
4162,2155
4643,2945
931,938
25,2966
2986,4775
3231,3989
1095,4252
3918,4383
2119,637
4337,2967
3186,3788
4350,4214
3322,1763
1428,878
3173,1375
1748,4796
1117,3445
2898,4019
1514,2069
2100,2112
1554,4166
439,3621
3647,2309
2138,1482
685,2410
4894,2725
368,2518
3693,4954
2121,3817
3351,2308
2524,806
2832,441
3974,2699
4263,2655
1606,1184
3572,3165
1064,2863
1416,4556
3853,760
3513,4939
2372,2117
2099,1357
2111,4900
4558,3960
4704,3413
1938,2715
3970,4236
2344,3144
524,833
1628,4342
2130,2564
724,1549
45,1091
4945,4717
231,1923
199,1674
3910,1100
215,4992
2989,3396
1283,2847
242,2880
4079,2999
1162,944
2139,4656
3924,2119
1120,515
388,3462
3489,2287
3198,3830
3517,1918
3593,3242
287,3840
3193,136
3550,2400
1095,508
1091,1248
1504,2825
4410,4308
3021,1025
1893,4555
2254,1015
3083,2347
4616,3674
4715,4520
2518,3934
2102,234
938,4571
501,3963
3349,4266
937,1879
160,564
35,1913
2676,3185
697,2156
4909,2075
4933,1370
1557,3266
964,993
3486,3768
3978,2129
3671,3828
1709,577
1823,1757
2194,769
847,3945
376,1200
3827,1101
4632,2046
2726,2870
4674,3875
1987,1268
4151,3255
4498,3963
530,3871
4086,2567
469,1508
2196,4143
1588,4915
4825,945
1159,306
3276,625
2766,2781
4962,4234
4785,1533
4304,1727
3713,3822
2908,1483
1226,1578
2853,3095
2928,2844
667,2589
1008,4632
1163,4060
2704,2302
776,18
3454,3970
2918,4212
2904,4242
4349,1876
2250,3116
1216,2686
4361,420
2396,925
4781,588
561,918
3290,4132
4573,11
1495,4118
957,1441
2691,4793
2897,2194
1398,2948
409,2232
2006,2461
2413,1102
3478,1025
188,2234
4048,744
2366,4408
