S_i,A_i
7,247
5,271
3,231
7,273
3,300
10,200
9,237
9,200
1,221
4,273
6,283
6,249
10,266
5,298
3,296
3,293
9,285
10,246
10,267
4,263
9,236
8,216
10,276
9,247
4,284
8,234
1,275
6,261
7,236
5,231
8,237
3,280
9,286
1,252
1,294
2,219
9,219
6,261
9,299
7,220
7,216
2,266
2,287
7,263
9,273
9,242
10,201
5,202
4,209
4,220
9,223
3,222
1,200
1,259
7,229
9,218
6,235
5,286
9,255
6,279
5,238
9,250
8,246
10,292
8,287
1,209
6,201
3,238
8,213
8,229
6,258
6,257
4,250
4,288
5,245
10,230
7,203
6,245
2,238
7,264
1,202
4,226
10,203
3,225
9,294
4,233
1,288
9,269
6,242
10,293
6,285
5,274
5,276
1,248
1,236
5,218
2,235
10,212
4,244
7,252
7,286
2,230
5,251
8,245
7,230
6,214
1,233
2,256
2,217
1,213
5,212
2,249
4,252
6,226
1,274
3,272
6,236
10,229
5,200
5,208
4,268
6,220
5,290
6,275
4,220
10,269
5,229
6,225
9,264
3,290
6,232
7,227
2,205
1,227
1,247
8,204
8,254
8,232
9,244
7,285
9,238
10,278
7,267
1,222
10,283
6,248
3,224
9,277
6,207
6,217
2,299
7,258
10,295
3,280
8,257
2,222
9,200
3,290
5,208
6,267
10,292
1,283
2,274
2,209
6,260
1,226
7,211
5,223
2,247
7,269
5,237
2,240
4,274
9,260
10,259
5,270
8,289
4,242
6,272
7,220
9,202
10,256
9,262
7,252
8,223
7,292
7,285
8,295
8,215
5,247
4,212
7,258
4,283
4,200
9,249
2,201
2,222
1,279
6,295
1,284
5,269
7,267
9,243
9,248
8,290
6,282
4,276
1,240
7,256
6,243
1,220
2,224
3,290
1,251
9,280
3,209
8,226
4,250
2,244
1,228
1,253
1,275
10,259
8,220
3,204
5,280
5,223
6,207
6,202
4,236
3,229
1,281
6,277
6,222
5,238
6,243
9,201
6,270
1,246
4,235
10,209
2,278
2,251
1,289
3,214
6,207
8,243
1,260
1,204
9,250
4,268
1,218
1,244
3,277
1,276
5,235
9,235
7,278
8,242
3,245
6,282
5,206
1,220
4,264
2,300
4,250
3,265
6,200
5,279
1,256
8,249
6,287
1,230
7,226
8,253
1,245
7,271
4,249
9,259
6,263
7,257
7,298
3,260
10,206
3,290
8,288
10,257
8,221
7,257
3,217
8,270
3,238
7,284
6,271
4,220
1,224
3,231
5,247
1,225
9,244
6,238
6,255
7,222
7,218
2,239
2,288
9,263
7,222
9,226
10,212
8,257
2,240
9,293
6,267
5,290
7,271
6,262
4,258
6,257
2,287
8,270
3,238
1,286
3,220
7,209
5,204
5,212
9,235
7,205
10,233
9,240
3,228
6,254
2,210
5,243
3,289
4,220
6,208
7,274
3,267
9,234
3,267
8,296
2,246
9,244
8,259
10,269
10,284
3,272
7,240
1,287
10,283
1,274
3,266
4,289
1,257
4,287
8,209
9,232
8,203
8,216
3,286
6,230
1,260
6,214
6,268
5,267
6,259
1,293
6,288
4,222
1,228
5,293
4,243
8,288
9,292
1,288
1,278
1,238
2,295
6,281
5,222
5,246
6,272
9,209
4,280
9,204
10,253
8,225
9,280
4,289
6,271
8,256
9,205
2,225
9,246
3,217
1,277
9,264
2,282
10,245
8,272
9,266
1,225
8,206
7,204
10,255
5,246
6,284
9,279
10,273
7,223
10,222
9,297
4,258
4,275
8,288
10,252
7,254
3,256
2,229
10,213
6,270
4,247
7,279
4,271
5,296
1,275
6,224
8,233
6,246
8,221
9,293
5,212
6,216
1,265
4,294
8,282
6,274
10,267
3,257
5,255
5,257
6,293
6,245
4,206
1,265
3,247
3,272
8,212
9,298
3,244
10,245
7,269
5,299
5,298
4,213
4,271
9,266
4,204
8,240
9,277
8,269
2,284
2,237
2,299
9,207
7,290
1,253
6,289
3,254
6,205
6,242
1,293
1,295
3,283
5,234
6,265
8,269
9,218
5,263
9,225
6,254
9,216
6,296
6,212
7,236
9,212
7,256
8,263
3,251
1,288
8,238
6,291
10,240
7,221
7,226
6,281
2,254
1,294
10,209
1,282
8,259
8,222
7,282
7,238
5,260
4,273
6,219
7,216
8,257
8,274
8,274
6,233
4,278
6,201
7,276
5,300
7,206
1,238
10,271
8,237
6,270
8,217
5,206
8,221
1,245
4,235
1,233
4,243
9,221
7,207
8,299
5,255
10,224
4,238
8,202
7,244
3,270
1,264
5,252
6,300
6,256
5,228
9,212
8,270
5,219
2,296
10,263
7,281
4,225
5,296
7,234
5,250
9,208
3,266
9,286
5,240
7,259
4,233
6,231
5,205
5,293
8,248
4,201
5,248
3,262
10,201
5,249
10,264
1,232
5,240
1,254
9,210
3,241
1,212
9,258
10,202
3,237
6,294
9,271
5,220
3,242
7,269
1,247
9,292
6,244
2,228
5,224
4,279
4,292
2,229
5,265
2,273
9,268
8,258
9,284
5,286
2,246
10,295
6,241
4,274
6,221
6,243
1,259
6,238
3,296
7,224
4,252
5,242
2,279
7,263
7,239
10,277
1,247
8,298
1,265
9,215
8,233
7,293
2,227
9,256
9,278
3,287
9,218
4,240
6,277
10,254
9,259
5,266
6,204
1,293
10,235
10,206
7,202
1,202
1,276
8,252
9,290
7,246
4,284
3,247
10,257
6,201
4,276
9,293
3,216
5,276
4,222
8,259
4,215
6,259
3,275
3,279
5,212
4,279
2,219
6,247
5,229
5,216
10,203
9,285
1,203
10,215
9,247
4,288
10,282
5,244
1,230
3,259
5,242
4,292
4,270
9,224
4,272
10,230
5,291
3,275
10,264
7,294
2,277
7,208
1,295
7,201
1,277
1,272
7,205
1,244
5,282
6,251
8,218
7,255
8,287
9,227
7,267
5,202
6,216
1,290
5,219
5,246
3,269
1,259
2,233
8,294
9,205
5,254
10,235
1,263
7,222
2,276
2,269
6,297
10,255
5,252
4,229
6,204
1,263
9,232
8,300
10,278
2,250
5,215
5,243
2,228
9,236
3,230
3,280
2,262
10,272
9,287
1,205
3,282
2,216
6,241
6,296
4,258
2,284
10,246
3,208
7,266
9,260
3,203
10,204
4,243
4,300
8,275
9,212
9,277
10,278
7,256
3,229
6,296
5,205
3,276
6,202
1,262
8,261
8,253
10,217
10,205
3,240
10,286
3,231
8,242
5,299
2,210
10,200
5,211
4,234
3,231
9,263
2,238
3,263
4,219
3,276
2,223
7,221
2,224
10,264
9,245
3,203
1,203
6,276
10,204
1,248
8,288
9,282
5,259
9,251
3,232
3,204
4,202
1,260
5,269
9,221
6,270
2,203
10,268
10,282
9,217
10,232
9,284
1,208
5,287
4,291
6,218
9,280
4,217
5,284
9,225
6,220
8,253
4,235
8,220
4,204
7,294
7,293
9,241
9,258
9,296
5,297
5,274
9,291
2,251
2,274
5,265
9,206
2,222
7,274
3,287
10,226
7,221
8,215
10,263
1,259
8,251
6,290
2,242
2,255
6,220
10,263
6,221
6,275
10,231
6,257
4,238
5,299
7,210
2,264
2,257
5,280
6,209
10,220
9,259
6,257
3,227
4,217
2,268
10,233
5,223
3,224
4,241
5,297
5,283
9,226
3,243
4,266
1,208
6,238
2,276
8,205
9,212
3,252
3,203
5,247
3,260
5,220
10,272
7,270
6,244
1,286
10,288
5,254
1,295
10,206
10,218
1,292
1,277
7,263
9,253
2,264
8,242
3,236
5,297
1,262
3,220
6,290
6,296
5,224
2,252
1,283
9,259
3,272
8,219
2,285
2,239
5,273
8,260
1,241
6,200
7,282
5,208
9,219
1,227
1,254
7,292
1,259
8,294
10,231
3,292
10,225
7,207
10,242
6,273
4,202
7,278
1,284
10,234
2,239
6,276
1,216
6,240
2,240
1,209
6,250
7,202
4,272
7,232
9,273
3,217
6,213
7,279
10,248
2,290
6,235
4,223
2,283
7,233
5,256
2,217
3,241
8,281
9,298
10,242
7,225
3,292
8,249
1,252
1,286
5,278
8,277
9,263
5,256
2,219
1,284
1,259
1,273
3,212
5,217
5,229
6,204
1,296
1,229
10,287
8,268
5,227
6,212
10,219
1,297
6,254
8,227
5,245
4,249
7,217
5,277
3,245
6,252
10,213
10,293
8,254
8,225
10,278
5,268
6,277
7,252
2,286
4,229
10,284
4,287
5,243
9,292
8,298
6,247
5,290
9,243
7,280
5,282
2,214
5,294
5,252
5,251
7,223
10,213
5,282
8,264
8,267
10,206
9,282
9,282
4,260
10,256
8,211
9,210
2,238
10,285
7,209
9,211
2,291
6,277
1,243
10,296
10,235
8,256
5,240
2,251
9,229
6,211
8,282
4,231
2,213
8,200
3,201
4,293
5,233
1,208
7,270
4,218
4,203
3,211
6,262
4,248
2,271
4,299
6,231
1,226
9,258
8,270
6,299
8,278
8,221
8,284
1,267
1,232
3,232
9,294
4,272
2,223
2,242
8,268
1,213
5,261
2,226
3,286
7,217
8,281
4,200
2,203
10,235
4,233
9,279
10,243
2,246
1,266
4,264
9,270
9,216
3,204
10,202
5,263
3,259
8,295
7,250
3,225
2,281
2,299
7,275
1,220
2,255
7,244
7,223
9,263
1,221
5,277
10,271
6,294
3,200
7,280
8,236
1,273
8,266
3,215
3,234
8,244
4,247
8,215
1,237
4,290
10,275
10,297
1,209
10,266
8,257
6,293
6,217
2,291
3,296
2,244
7,224
4,272
10,235
4,295
1,221
7,294
4,281
6,268
10,208
5,288
2,236
1,261
6,276
4,243
2,242
1,281
10,232
1,242
10,207
3,298
10,280
1,211
8,215
5,278
5,278
4,277
4,271
8,210
7,253
10,266
7,296
3,268
7,204
6,242
2,291
1,261
1,202
2,259
2,292
6,220
8,255
9,270
10,216
7,260
10,204
9,213
8,223
10,203
8,280
2,205
1,205
6,282
8,288
10,222
1,228
10,280
3,239
9,208
6,247
6,263
9,220
10,222
3,214
8,227
2,211
4,247
2,218
5,284
1,223
6,223
8,233
9,208
6,267
9,219
5,220
2,279
2,265
10,295
10,215
5,200
1,283
2,275
7,234
7,220
10,224
9,271
3,285
4,268
8,207
3,280
9,208
10,226
9,274
3,223
6,261
9,220
4,292
4,209
7,239
7,286
2,204
7,207
5,251
7,222
2,202
1,274
9,261
8,225
5,259
9,275
8,247
6,232
8,278
9,247
4,234
8,263
1,240
9,294
9,210
8,246
3,208
7,205
8,255
1,269
5,207
5,285
4,269
8,267
2,200
7,236
3,264
5,247
10,285
1,239
10,228
6,204
4,260
10,264
10,268
8,285
6,274
4,291
6,291
8,291
3,217
9,231
2,213
3,200
8,239
6,290
9,284
1,223
7,215
1,294
6,205
3,253
3,259
4,271
8,243
6,239
10,246
9,244
10,252
2,291
3,287
10,210
3,212
9,263
6,297
4,285
5,214
4,220
7,211
4,271
5,240
6,266
3,204
6,207
5,205
8,256
10,232
2,282
10,254
7,286
2,222
6,248
8,240
2,202
2,297
1,232
8,299
3,250
4,272
7,290
7,263
7,293
6,279
3,211
6,205
4,225
1,235
8,229
9,220
9,211
9,229
7,290
3,231
9,239
5,262
10,284
6,270
4,261
9,279
10,230
10,210
7,208
1,276
5,278
1,216
4,267
6,294
4,257
3,272
10,283
8,208
8,297
8,235
8,282
8,276
6,251
1,240
2,253
7,298
10,215
7,293
2,203
6,250
1,291
7,295
5,220
1,281
2,255
3,235
5,208
2,214
10,239
3,265
8,267
4,266
6,231
8,271
5,227
7,231
2,206
1,204
6,242
8,283
1,213
1,260
3,220
2,278
7,234
4,228
6,244
3,272
5,299
7,222
7,229
9,200
7,246
1,283
10,245
2,216
4,262
8,205
8,292
1,282
6,291
6,213
8,293
7,297
8,219
7,217
9,255
4,299
1,293
10,283
7,251
2,272
5,258
9,237
2,288
5,253
10,279
5,264
8,230
3,295
8,218
10,205
2,267
10,217
6,209
2,260
10,285
10,217
1,256
2,257
6,261
6,246
2,241
2,210
10,209
5,250
6,214
2,223
7,290
4,227
10,231
5,263
7,255
5,265
1,261
7,220
5,240
9,235
5,226
9,245
1,268
8,293
6,245
1,273
5,212
9,208
6,203
10,219
8,242
10,206
9,240
4,247
8,203
5,247
1,218
9,210
5,239
10,278
7,206
6,218
4,228
8,221
1,220
10,260
9,279
4,228
1,298
10,205
9,285
9,296
4,222
9,277
8,291
6,215
3,273
10,295
10,224
7,251
6,216
1,289
5,273
10,296
3,233
3,289
4,230
9,293
1,280
1,240
9,217
1,253
1,211
1,200
5,237
4,267
8,244
3,277
6,218
8,239
9,275
6,209
3,236
8,218
1,210
10,201
5,237
1,280
5,222
5,222
7,297
4,206
7,294
7,268
10,238
5,205
9,295
5,203
10,217
4,238
10,212
5,228
8,228
6,269
5,267
7,295
9,295
5,252
4,242
6,257
6,264
6,215
8,201
4,222
6,272
7,254
1,230
5,289
6,279
9,292
8,269
7,261
2,246
8,297
5,217
2,262
9,223
4,290
2,261
4,205
8,214
5,221
10,201
3,267
10,288
2,208
8,284
7,220
8,220
9,253
8,230
4,277
5,227
9,267
8,224
10,228
7,289
3,202
5,267
5,257
7,224
4,242
8,270
4,204
2,263
7,238
4,265
6,286
2,272
8,215
10,221
7,258
2,235
1,224
9,260
9,200
9,252
4,212
6,271
5,296
3,235
9,208
8,238
3,248
6,276
4,266
3,223
9,299
9,201
4,270
7,273
1,268
7,210
1,260
9,235
3,250
4,218
2,232
10,289
10,237
1,228
2,256
6,262
4,246
3,253
7,203
9,224
3,297
5,250
8,217
9,270
6,263
9,235
1,300
3,283
3,227
8,274
7,220
8,235
10,219
6,224
9,283
10,251
8,238
10,264
8,292
7,228
7,266
8,294
2,247
10,272
8,288
3,252
8,230
9,272
10,275
7,288
9,226
2,265
4,281
10,298
8,281
10,217
7,280
3,290
8,247
1,269
1,281
1,272
4,275
1,237
1,253
6,234
7,296
4,210
4,247
8,279
5,234
4,266
9,258
4,216
9,231
3,218
5,226
4,293
1,253
9,269
2,271
1,244
3,256
7,256
4,285
1,264
1,208
6,273
4,265
5,224
10,217
1,213
10,231
9,207
9,290
8,260
1,283
7,215
4,252
6,218
5,201
10,222
1,252
9,283
2,256
5,289
9,243
3,271
5,202
2,300
8,214
6,255
8,271
8,240
8,257
3,249
5,219
2,295
7,256
8,286
6,294
7,298
9,223
4,263
4,279
5,237
7,294
2,299
3,233
10,225
10,236
10,274
2,240
2,258
1,248
3,285
10,281
7,243
7,266
9,299
10,216
6,202
4,295
9,286
2,224
10,226
5,203
6,300
5,243
9,270
5,278
9,288
1,222
7,221
4,241
4,208
5,299
4,212
4,248
1,281
5,273
10,266
1,289
6,263
5,268
6,275
10,209
1,293
10,234
10,265
6,283
9,239
2,267
9,265
3,231
6,245
5,279
8,226
4,223
8,286
2,234
4,254
4,244
5,260
9,259
7,212
6,207
7,235
8,245
8,230
6,258
3,260
1,212
9,222
2,265
8,299
3,227
7,205
3,295
1,270
9,222
7,272
9,294
8,294
4,255
10,233
10,201
5,235
7,265
8,272
3,283
8,238
8,260
6,286
3,299
3,211
5,257
2,255
1,271
5,247
3,224
1,217
10,293
7,215
9,271
3,230
8,277
3,218
7,268
1,284
4,253
8,259
2,201
1,207
1,293
6,243
6,234
10,288
6,263
4,214
4,238
7,203
3,263
9,255
9,296
2,202
3,209
8,202
8,253
5,252
10,289
3,258
3,290
4,228
1,206
3,209
2,263
9,250
8,229
3,291
4,217
1,203
8,246
8,210
6,287
2,245
7,279
8,215
5,299
3,285
2,285
8,218
4,225
1,261
3,237
8,227
4,264
10,297
3,203
3,221
1,245
9,239
7,239
1,283
9,233
5,215
9,296
1,257
1,274
10,298
10,297
2,267
4,241
2,222
8,214
3,226
3,286
7,289
9,222
2,223
4,274
5,300
2,292
3,257
1,223
3,274
1,207
10,205
7,268
3,212
9,287
4,294
8,254
3,231
2,243
5,255
6,267
10,266
5,259
8,232
7,265
10,218
10,276
7,262
10,279
1,213
4,278
8,246
1,227
4,273
10,297
7,250
2,294
7,296
1,229
3,285
8,213
1,231
2,296
6,252
10,223
6,298
5,255
5,295
8,291
8,284
4,272
3,284
5,230
6,249
10,239
10,300
4,205
10,291
3,282
6,222
8,277
9,231
1,222
4,237
9,263
7,269
6,272
9,214
5,202
1,216
2,272
4,211
9,278
6,233
2,243
7,238
7,291
9,292
7,228
5,296
10,200
3,243
9,270
2,290
7,293
10,220
4,255
8,221
5,204
2,281
5,219
10,287
2,276
3,201
9,267
3,228
8,272
4,243
5,268
7,242
10,286
10,270
5,230
4,269
7,271
4,241
9,223
3,207
2,236
4,266
3,235
5,258
4,205
6,298
7,211
9,299
6,248
3,291
4,277
10,207
1,295
9,216
7,251
4,286
1,271
9,254
4,226
3,234
9,247
3,251
3,276
9,297
3,291
8,299
9,296
6,255
7,298
7,236
8,279
3,266
4,260
9,255
2,221
3,238
7,285
5,276
4,261
6,260
7,249
4,210
3,239
4,286
4,288
3,283
9,209
6,203
7,227
5,236
9,211
4,216
5,298
2,283
5,219
8,284
1,289
3,258
6,276
9,222
8,245
1,209
8,260
10,211
3,204
6,278
10,213
9,263
10,298
9,216
4,266
7,297
10,205
2,249
1,249
1,229
6,249
6,238
7,210
8,214
10,268
6,200
10,217
2,208
6,254
4,213
10,262
3,208
9,277
9,243
6,244
4,279
6,247
3,229
4,259
7,228
6,296
2,263
2,274
2,286
6,214
2,256
5,292
3,216
9,258
1,285
3,269
3,237
6,275
2,217
5,249
6,214
9,233
10,226
1,284
10,212
7,260
6,288
6,208
3,299
9,208
3,204
10,245
10,263
4,283
4,290
9,273
7,289
7,257
7,236
6,293
4,253
2,292
8,255
8,252
4,235
6,214
10,280
5,253
6,214
10,236
7,300
4,228
4,229
8,221
5,247
4,288
4,219
3,248
3,213
3,278
2,299
1,209
2,207
7,272
7,289
5,262
8,234
6,264
3,229
7,255
9,264
3,215
10,232
8,213
7,242
6,223
3,250
9,200
2,288
6,278
6,252
4,206
1,263
8,239
7,291
2,293
6,219
2,229
7,284
7,225
9,238
8,210
7,242
9,295
4,299
9,216
10,274
4,288
6,287
3,297
5,201
7,217
5,209
4,228
7,215
5,227
5,209
5,208
7,278
4,200
9,235
8,206
10,236
10,271
8,290
5,279
9,279
5,272
3,223
10,227
2,222
10,260
4,281
5,216
2,254
8,288
7,262
7,295
4,217
9,253
6,206
9,251
6,299
9,209
4,223
10,219
2,257
9,245
7,224
4,271
8,288
6,276
4,201
7,263
4,220
5,270
5,295
4,209
7,283
10,228
4,263
1,217
7,200
7,203
3,234
10,279
6,262
7,291
5,214
3,242
4,262
3,282
7,208
1,247
3,225
8,223
7,205
1,232
3,237
7,261
3,291
5,259
10,298
3,275
2,263
9,277
3,280
6,269
5,230
8,263
8,293
8,226
1,277
7,275
3,265
7,208
9,235
1,217
6,216
10,244
8,208
7,220
6,274
8,220
2,288
2,270
10,244
6,258
10,216
10,291
5,244
2,254
1,272
2,259
6,200
3,223
8,247
7,292
6,294
7,238
7,243
5,294
10,255
6,226
9,232
3,255
7,206
9,201
8,270
3,254
10,284
7,222
3,242
3,221
3,292
2,255
5,254
1,241
10,283
6,292
2,288
4,267
1,272
5,212
5,287
8,277
7,210
4,278
10,285
9,287
5,260
8,260
9,202
6,236
6,245
3,261
9,242
4,255
5,287
10,225
4,226
9,288
1,231
1,225
5,230
9,202
9,286
6,224
6,212
1,297
8,213
10,243
7,257
6,224
10,246
7,209
6,247
3,279
9,216
8,278
9,239
8,210
5,263
9,238
5,244
1,206
9,235
6,289
4,222
2,259
4,266
7,202
5,293
4,227
5,299
6,239
3,255
10,274
4,217
6,281
4,241
3,227
9,242
8,296
5,251
4,241
7,290
10,205
3,290
5,221
4,261
6,257
1,274
1,213
10,286
2,233
7,274
10,291
10,233
5,273
4,272
6,208
6,233
8,227
3,256
3,216
3,258
9,206
6,254
10,262
1,279
6,297
10,300
5,254
8,243
10,280
9,261
6,209
5,281
10,227
1,236
5,267
1,231
5,295
6,280
8,271
1,214
1,208
2,261
6,295
4,253
8,241
1,248
8,256
7,212
10,208
9,223
8,258
10,219
1,287
7,200
5,275
8,231
6,263
1,212
4,280
6,273
6,265
3,244
10,226
2,237
1,205
10,283
2,246
4,237
1,261
9,281
6,245
4,240
1,228
9,215
8,292
7,296
2,200
7,225
3,203
9,289
9,272
10,249
1,251
9,240
8,239
8,233
7,240
7,276
4,232
3,266
9,249
10,251
1,275
4,251
5,233
2,227
7,289
4,246
7,211
2,246
3,246
9,278
1,227
4,201
6,279
8,295
6,267
5,256
8,266
8,226
10,272
10,265
2,274
2,209
1,281
8,296
5,243
2,202
7,260
8,225
8,297
1,220
6,203
7,222
6,250
4,218
1,296
3,271
7,222
1,206
5,208
7,300
1,260
8,268
1,258
7,245
8,205
2,274
5,241
5,222
8,219
10,243
8,274
2,216
7,203
2,240
8,228
7,291
8,266
5,260
3,278
4,280
2,299
7,268
8,253
3,282
8,277
8,223
4,234
5,277
4,250
2,300
10,299
3,205
4,253
7,250
2,231
7,281
9,278
8,296
4,251
4,299
7,247
6,206
9,241
10,242
10,273
5,240
9,293
1,254
6,288
6,214
3,278
8,239
1,205
8,211
8,281
3,291
6,262
8,221
3,271
9,280
1,283
2,217
3,216
2,259
2,267
3,291
8,255
5,234
9,209
6,299
8,285
2,220
4,282
5,257
3,205
10,269
10,253
5,299
3,237
8,249
6,244
5,212
3,238
3,276
3,298
9,213
10,240
2,259
8,220
2,266
1,240
8,263
6,249
6,272
2,271
2,238
5,267
10,217
8,244
9,241
7,239
2,233
10,249
6,227
5,287
7,234
8,284
4,220
9,289
4,267
4,283
9,226
4,282
6,267
9,233
7,231
10,209
10,230
5,246
9,249
4,235
10,275
5,287
1,226
5,257
3,251
1,260
3,200
5,286
7,223
3,210
8,228
5,260
2,222
8,209
2,290
5,246
1,207
6,260
3,289
8,295
1,276
10,232
3,232
1,225
10,298
8,286
